Matematika_Mérnököknek_1;Elmélet;hétfő;08:00;IK-201;Dr. Baran Ágnes Éva
Számítógépes_Hálózatok;Gyakorlat;hétfő;08:00;TEOKJ-108;UC
Programozási_nyelvek_2;Gyakorlat;hétfő;14:00;idkterem;Dr Tilki Attila
Számítógépes_Hálózatok;Elmélet;csütörtök;10:00;IK-F01;UC
Közgazdasági_Alapismeretek;Elmélet;csütörtök;12:00;TEOKJ-108;UC
Mérnöki_Szoftverfejlesztés;Gyakorlat;csütörtök;16:00;IK-103;UC
Közgazdasági_Alapismeretek;Gyakorlat;csütörtök;18:00;TEOKJ-109;UC
Programozási_nyelvek_2;Gyakorlat;péntek;14:00;IK-201;Dr. Szathmáry László
